Month;Hyodyke_new;Point figure;Annual change (%);Monthly change (%);Annual impact (%-units);Monthly impact (%-units);Date
2011M09;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,02;6,92;0,27;1,592;0,066;2011-09-01
2011M09;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,86;2,15;0,38;0,122;0,021;2011-09-01
2011M09;06 HEALTH;100,88;0,83;-0,03;0,041;-0,001;2011-09-01
2011M09;07 TRANSPORT;104,06;3,89;-0,31;0,507;-0,041;2011-09-01
2011M09;08 COMMUNICATION;97,13;-2,16;-1,15;-0,051;-0,026;2011-09-01
2011M09;09 RECREATION AND CULTURE;98,85;-1,01;0,06;-0,124;0,007;2011-09-01
2011M09;10 EDUCATION;103,51;0,88;0,31;0,004;0,001;2011-09-01
2011M09;11 RESTAURANTS AND HOTELS;103,44;5,12;0,06;0,354;0,004;2011-09-01
2011M09;12 MISCELLANEOUS GOODS AND SERVICES;104,71;4,23;0,29;0,285;0,020;2011-09-01
2011M10;0 CONSUMER PRICE INDEX;104,31;3,54;0,24;3,543;0,249;2011-10-01
2011M10;01 FOOD AND NON-ALCOHOLIC BEVERAGES;106,58;5,60;0,49;0,752;0,068;2011-10-01
2011M10;02 ALCOHOLIC BEVERAGES, TOBACCO;101,21;0,99;0,07;0,056;0,004;2011-10-01
2011M10;03 CLOTHING AND FOOTWEAR;105,34;1,76;0,75;0,096;0,040;2011-10-01
2011M10;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,10;6,71;0,07;1,540;0,017;2011-10-01
2011M10;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,19;1,92;0,32;0,110;0,018;2011-10-01
2011M10;06 HEALTH;101,34;0,68;0,45;0,034;0,021;2011-10-01
2011M10;07 TRANSPORT;104,30;3,94;0,23;0,512;0,030;2011-10-01
2011M10;08 COMMUNICATION;95,89;-2,02;-1,27;-0,047;-0,028;2011-10-01
2011M10;09 RECREATION AND CULTURE;99,85;-0,38;1,01;-0,047;0,119;2011-10-01
2011M10;10 EDUCATION;103,51;0,88;0,00;0,004;0,000;2011-10-01
2011M10;11 RESTAURANTS AND HOTELS;102,71;3,64;-0,70;0,252;-0,049;2011-10-01
2011M10;12 MISCELLANEOUS GOODS AND SERVICES;104,83;4,14;0,11;0,278;0,007;2011-10-01
2011M11;0 CONSUMER PRICE INDEX;104,38;3,35;0,06;3,356;0,067;2011-11-01
2011M11;01 FOOD AND NON-ALCOHOLIC BEVERAGES;108,01;5,98;1,34;0,809;0,183;2011-11-01
2011M11;02 ALCOHOLIC BEVERAGES, TOBACCO;101,36;1,11;0,14;0,063;0,008;2011-11-01
2011M11;03 CLOTHING AND FOOTWEAR;105,06;1,07;-0,26;0,058;-0,014;2011-11-01
2011M11;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,64;5,84;-0,42;1,342;-0,100;2011-11-01
2011M11;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,40;1,97;0,20;0,112;0,011;2011-11-01
2011M11;06 HEALTH;101,09;0,56;-0,24;0,028;-0,011;2011-11-01
2011M11;07 TRANSPORT;103,91;3,49;-0,37;0,453;-0,048;2011-11-01
2011M11;08 COMMUNICATION;96,38;-0,79;0,51;-0,018;0,011;2011-11-01
2011M11;09 RECREATION AND CULTURE;99,79;-0,21;-0,06;-0,026;-0,007;2011-11-01
2011M11;10 EDUCATION;103,51;0,88;0,00;0,004;0,000;2011-11-01
2011M11;11 RESTAURANTS AND HOTELS;103,06;3,48;0,34;0,242;0,023;2011-11-01
2011M11;12 MISCELLANEOUS GOODS AND SERVICES;105,12;4,34;0,27;0,292;0,018;2011-11-01
2011M12;0 CONSUMER PRICE INDEX;104,35;2,89;-0,02;2,899;-0,028;2011-12-01
2011M12;01 FOOD AND NON-ALCOHOLIC BEVERAGES;108,40;5,29;0,36;0,719;0,050;2011-12-01
2011M12;02 ALCOHOLIC BEVERAGES, TOBACCO;101,37;1,10;0,00;0,062;0,000;2011-12-01
2011M12;03 CLOTHING AND FOOTWEAR;104,45;1,10;-0,58;0,059;-0,031;2011-12-01
2011M12;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,69;5,40;0,04;1,242;0,010;2011-12-01
2011M12;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,45;2,15;0,04;0,122;0,002;2011-12-01
2011M12;06 HEALTH;100,98;0,37;-0,10;0,018;-0,005;2011-12-01
2011M12;07 TRANSPORT;103,39;1,57;-0,50;0,205;-0,064;2011-12-01
2011M12;08 COMMUNICATION;94,97;-3,28;-1,46;-0,076;-0,032;2011-12-01
2011M12;09 RECREATION AND CULTURE;100,03;0,00;0,24;0,001;0,028;2011-12-01
2011M12;10 EDUCATION;103,51;0,88;0,00;0,004;0,000;2011-12-01
2011M12;11 RESTAURANTS AND HOTELS;102,88;3,48;-0,17;0,240;-0,012;2011-12-01
2011M12;12 MISCELLANEOUS GOODS AND SERVICES;105,35;4,36;0,21;0,293;0,014;2011-12-01
2012M01;0 CONSUMER PRICE INDEX;105,01;3,17;0,63;3,173;0,632;2012-01-01
2012M01;01 FOOD AND NON-ALCOHOLIC BEVERAGES;109,28;4,99;0,81;0,684;0,112;2012-01-01
2012M01;02 ALCOHOLIC BEVERAGES, TOBACCO;106,14;5,23;4,70;0,295;0,259;2012-01-01
2012M01;03 CLOTHING AND FOOTWEAR;97,96;2,05;-6,21;0,102;-0,330;2012-01-01
2012M01;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,97;3,84;0,26;0,897;0,061;2012-01-01
2012M01;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,86;2,38;-0,57;0,134;-0,032;2012-01-01
2012M01;06 HEALTH;100,66;0,47;-0,31;0,023;-0,015;2012-01-01
2012M01;07 TRANSPORT;105,29;3,11;1,83;0,407;0,237;2012-01-01
2012M01;08 COMMUNICATION;94,75;-5,13;-0,23;-0,120;-0,005;2012-01-01
2012M01;09 RECREATION AND CULTURE;100,05;0,12;0,01;0,014;0,002;2012-01-01
2012M01;10 EDUCATION;103,88;1,22;0,35;0,006;0,001;2012-01-01
2012M01;11 RESTAURANTS AND HOTELS;104,67;3,85;1,73;0,269;0,120;2012-01-01
2012M01;12 MISCELLANEOUS GOODS AND SERVICES;108,86;6,86;3,33;0,462;0,226;2012-01-01
2012M02;0 CONSUMER PRICE INDEX;105,59;3,11;0,55;3,115;0,552;2012-02-01
2012M02;01 FOOD AND NON-ALCOHOLIC BEVERAGES;110,86;4,21;1,44;0,586;0,201;2012-02-01
2012M02;02 ALCOHOLIC BEVERAGES, TOBACCO;106,66;6,01;0,48;0,336;0,028;2012-02-01
2012M02;03 CLOTHING AND FOOTWEAR;100,91;2,47;3,01;0,126;0,149;2012-02-01
2012M02;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,90;3,61;-0,06;0,838;-0,015;2012-02-01
2012M02;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,92;1,63;0,05;0,092;0,003;2012-02-01
2012M02;06 HEALTH;100,85;0,63;0,18;0,031;0,008;2012-02-01
2012M02;07 TRANSPORT;105,90;3,64;0,57;0,473;0,075;2012-02-01
2012M02;08 COMMUNICATION;95,35;-4,58;0,63;-0,107;0,013;2012-02-01
2012M02;09 RECREATION AND CULTURE;100,63;0,42;0,57;0,052;0,068;2012-02-01
2012M02;10 EDUCATION;103,88;1,22;0,00;0,006;0,000;2012-02-01
2012M02;11 RESTAURANTS AND HOTELS;104,92;3,42;0,23;0,238;0,016;2012-02-01
2012M02;12 MISCELLANEOUS GOODS AND SERVICES;108,75;6,55;-0,10;0,440;-0,007;2012-02-01
2012M03;0 CONSUMER PRICE INDEX;105,99;2,94;0,37;2,942;0,378;2012-03-01
2012M03;01 FOOD AND NON-ALCOHOLIC BEVERAGES;111,40;4,40;0,48;0,611;0,068;2012-03-01
2012M03;02 ALCOHOLIC BEVERAGES, TOBACCO;106,69;6,06;0,02;0,336;0,001;2012-03-01
2012M03;03 CLOTHING AND FOOTWEAR;105,31;3,62;4,36;0,189;0,221;2012-03-01
2012M03;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,85;3,12;-0,04;0,724;-0,010;2012-03-01
2012M03;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,49;1,47;0,55;0,082;0,030;2012-03-01
2012M03;06 HEALTH;100,84;0,53;0,00;0,026;0,000;2012-03-01
2012M03;07 TRANSPORT;106,87;2,99;0,91;0,394;0,119;2012-03-01
2012M03;08 COMMUNICATION;94,70;-4,62;-0,68;-0,106;-0,014;2012-03-01
2012M03;09 RECREATION AND CULTURE;100,27;0,24;-0,35;0,030;-0,042;2012-03-01
2012M03;10 EDUCATION;103,88;1,22;0,00;0,006;0,000;2012-03-01
2012M03;11 RESTAURANTS AND HOTELS;105,12;3,28;0,19;0,228;0,013;2012-03-01
2012M03;12 MISCELLANEOUS GOODS AND SERVICES;108,70;6,29;-0,04;0,421;-0,003;2012-03-01
2012M04;0 CONSUMER PRICE INDEX;106,36;3,10;0,34;3,101;0,349;2012-04-01
2012M04;01 FOOD AND NON-ALCOHOLIC BEVERAGES;111,43;4,40;0,02;0,610;0,003;2012-04-01
2012M04;02 ALCOHOLIC BEVERAGES, TOBACCO;106,67;6,10;-0,01;0,338;-0,001;2012-04-01
2012M04;03 CLOTHING AND FOOTWEAR;106,43;3,91;1,06;0,206;0,056;2012-04-01
2012M04;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,73;2,76;-0,11;0,641;-0,025;2012-04-01
2012M04;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,76;1,45;0,26;0,082;0,014;2012-04-01
2012M04;06 HEALTH;101,25;0,50;0,40;0,024;0,019;2012-04-01
2012M04;07 TRANSPORT;109,35;4,81;2,32;0,634;0,305;2012-04-01
2012M04;08 COMMUNICATION;92,38;-6,48;-2,44;-0,149;-0,052;2012-04-01
2012M04;09 RECREATION AND CULTURE;100,15;0,38;-0,11;0,045;-0,014;2012-04-01
2012M04;10 EDUCATION;103,92;0,70;0,03;0,003;0,000;2012-04-01
2012M04;11 RESTAURANTS AND HOTELS;105,86;3,90;0,70;0,271;0,049;2012-04-01
2012M04;12 MISCELLANEOUS GOODS AND SERVICES;108,59;5,84;-0,10;0,392;-0,006;2012-04-01
2012M05;0 CONSUMER PRICE INDEX;106,37;3,06;0,00;3,061;0,009;2012-05-01
2012M05;01 FOOD AND NON-ALCOHOLIC BEVERAGES;110,85;4,77;-0,52;0,655;-0,073;2012-05-01
2012M05;02 ALCOHOLIC BEVERAGES, TOBACCO;108,51;7,88;1,72;0,436;0,098;2012-05-01
2012M05;03 CLOTHING AND FOOTWEAR;105,88;3,78;-0,51;0,198;-0,027;2012-05-01
2012M05;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,30;2,52;0,52;0,590;0,122;2012-05-01
2012M05;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;104,17;1,86;0,39;0,105;0,021;2012-05-01
2012M05;06 HEALTH;101,30;0,51;0,04;0,025;0,002;2012-05-01
2012M05;07 TRANSPORT;108,47;4,32;-0,80;0,568;-0,107;2012-05-01
2012M05;08 COMMUNICATION;92,25;-6,41;-0,14;-0,146;-0,002;2012-05-01
2012M05;09 RECREATION AND CULTURE;100,06;0,37;-0,08;0,044;-0,010;2012-05-01
2012M05;10 EDUCATION;103,92;0,70;0,00;0,003;0,000;2012-05-01
2012M05;11 RESTAURANTS AND HOTELS;106,01;3,64;0,14;0,254;0,009;2012-05-01
2012M05;12 MISCELLANEOUS GOODS AND SERVICES;108,24;4,80;-0,32;0,323;-0,022;2012-05-01
2012M06;0 CONSUMER PRICE INDEX;106,44;2,83;0,06;2,830;0,065;2012-06-01
2012M06;01 FOOD AND NON-ALCOHOLIC BEVERAGES;111,14;4,62;0,26;0,635;0,036;2012-06-01
2012M06;02 ALCOHOLIC BEVERAGES, TOBACCO;108,53;7,86;0,01;0,434;0,001;2012-06-01
2012M06;03 CLOTHING AND FOOTWEAR;103,54;3,10;-2,21;0,159;-0,116;2012-06-01
2012M06;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,63;2,06;0,30;0,485;0,070;2012-06-01
2012M06;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,89;1,90;-0,26;0,106;-0,014;2012-06-01
2012M06;06 HEALTH;101,03;0,27;-0,26;0,013;-0,012;2012-06-01
2012M06;07 TRANSPORT;108,99;3,97;0,47;0,525;0,063;2012-06-01
2012M06;08 COMMUNICATION;92,28;-5,32;0,03;-0,120;0,000;2012-06-01
2012M06;09 RECREATION AND CULTURE;100,33;0,51;0,26;0,061;0,031;2012-06-01
2012M06;10 EDUCATION;103,92;0,70;0,00;0,003;0,000;2012-06-01
2012M06;11 RESTAURANTS AND HOTELS;106,43;3,35;0,39;0,234;0,027;2012-06-01
2012M06;12 MISCELLANEOUS GOODS AND SERVICES;107,85;4,30;-0,36;0,289;-0,024;2012-06-01
2012M07;0 CONSUMER PRICE INDEX;106,24;2,92;-0,18;2,925;-0,187;2012-07-01
2012M07;01 FOOD AND NON-ALCOHOLIC BEVERAGES;111,37;5,86;0,20;0,800;0,028;2012-07-01
2012M07;02 ALCOHOLIC BEVERAGES, TOBACCO;108,44;7,79;-0,08;0,431;-0,004;2012-07-01
2012M07;03 CLOTHING AND FOOTWEAR;97,80;3,96;-5,54;0,191;-0,286;2012-07-01
2012M07;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,81;1,76;0,16;0,417;0,038;2012-07-01
2012M07;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;102,83;1,27;-1,02;0,071;-0,056;2012-07-01
2012M07;06 HEALTH;100,81;0,05;-0,21;0,002;-0,010;2012-07-01
2012M07;07 TRANSPORT;109,91;4,62;0,84;0,614;0,112;2012-07-01
2012M07;08 COMMUNICATION;93,42;-6,01;1,23;-0,139;0,025;2012-07-01
2012M07;09 RECREATION AND CULTURE;100,04;0,20;-0,28;0,024;-0,033;2012-07-01
2012M07;10 EDUCATION;103,92;0,70;0,00;0,003;0,000;2012-07-01
2012M07;11 RESTAURANTS AND HOTELS;106,79;3,61;0,33;0,254;0,023;2012-07-01
2012M07;12 MISCELLANEOUS GOODS AND SERVICES;107,47;3,79;-0,35;0,256;-0,024;2012-07-01
2012M08;0 CONSUMER PRICE INDEX;106,44;2,72;0,18;2,721;0,188;2012-08-01
2012M08;01 FOOD AND NON-ALCOHOLIC BEVERAGES;111,33;5,86;-0,03;0,797;-0,005;2012-08-01
2012M08;02 ALCOHOLIC BEVERAGES, TOBACCO;108,49;7,85;0,04;0,433;0,002;2012-08-01
2012M08;03 CLOTHING AND FOOTWEAR;103,28;2,91;5,60;0,150;0,273;2012-08-01
2012M08;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,66;0,87;-0,13;0,207;-0,032;2012-08-01
2012M08;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,74;1,23;0,88;0,069;0,048;2012-08-01
2012M08;06 HEALTH;100,87;-0,04;0,05;-0,002;0,002;2012-08-01
2012M08;07 TRANSPORT;109,67;5,05;-0,21;0,664;-0,029;2012-08-01
2012M08;08 COMMUNICATION;90,79;-7,60;-2,81;-0,172;-0,059;2012-08-01
2012M08;09 RECREATION AND CULTURE;99,60;0,81;-0,43;0,096;-0,051;2012-08-01
2012M08;10 EDUCATION;103,92;0,70;0,00;0,003;0,000;2012-08-01
2012M08;11 RESTAURANTS AND HOTELS;107,34;3,84;0,51;0,270;0,036;2012-08-01
2012M08;12 MISCELLANEOUS GOODS AND SERVICES;107,53;2,99;0,05;0,203;0,003;2012-08-01
2012M09;0 CONSUMER PRICE INDEX;106,86;2,70;0,39;2,700;0,394;2012-09-01
2012M09;01 FOOD AND NON-ALCOHOLIC BEVERAGES;112,22;5,81;0,79;0,794;0,112;2012-09-01
2012M09;02 ALCOHOLIC BEVERAGES, TOBACCO;108,76;7,54;0,24;0,417;0,014;2012-09-01
2012M09;03 CLOTHING AND FOOTWEAR;106,36;1,73;2,98;0,092;0,153;2012-09-01
2012M09;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,52;0,46;-0,12;0,109;-0,030;2012-09-01
2012M09;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;104,57;1,66;0,80;0,093;0,044;2012-09-01
2012M09;06 HEALTH;100,94;0,05;0,06;0,002;0,003;2012-09-01
2012M09;07 TRANSPORT;110,30;5,99;0,57;0,782;0,077;2012-09-01
2012M09;08 COMMUNICATION;90,57;-6,75;-0,24;-0,151;-0,004;2012-09-01
2012M09;09 RECREATION AND CULTURE;99,96;1,12;0,36;0,132;0,041;2012-09-01
2012M09;10 EDUCATION;107,14;3,50;3,09;0,017;0,015;2012-09-01
2012M09;11 RESTAURANTS AND HOTELS;107,06;3,49;-0,26;0,245;-0,018;2012-09-01
2012M09;12 MISCELLANEOUS GOODS AND SERVICES;107,32;2,49;-0,19;0,169;-0,013;2012-09-01
2012M10;0 CONSUMER PRICE INDEX;107,02;2,59;0,14;2,598;0,149;2012-10-01
2012M10;01 FOOD AND NON-ALCOHOLIC BEVERAGES;112,83;5,86;0,54;0,802;0,076;2012-10-01
2012M10;02 ALCOHOLIC BEVERAGES, TOBACCO;108,70;7,40;-0,05;0,408;-0,003;2012-10-01
2012M10;03 CLOTHING AND FOOTWEAR;106,40;1,00;0,03;0,053;0,001;2012-10-01
2012M10;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,53;0,39;0,00;0,094;0,002;2012-10-01
2012M10;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;104,61;1,37;0,03;0,077;0,002;2012-10-01
2012M10;06 HEALTH;101,43;0,08;0,48;0,004;0,022;2012-10-01
2012M10;07 TRANSPORT;110,52;5,96;0,19;0,777;0,026;2012-10-01
2012M10;08 COMMUNICATION;88,13;-8,09;-2,69;-0,178;-0,054;2012-10-01
2012M10;09 RECREATION AND CULTURE;100,59;0,74;0,63;0,087;0,073;2012-10-01
2012M10;10 EDUCATION;107,14;3,50;0,00;0,017;0,000;2012-10-01
2012M10;11 RESTAURANTS AND HOTELS;107,22;4,39;0,14;0,304;0,010;2012-10-01
2012M10;12 MISCELLANEOUS GOODS AND SERVICES;107,09;2,15;-0,21;0,146;-0,014;2012-10-01
2012M11;0 CONSUMER PRICE INDEX;106,67;2,19;-0,32;2,193;-0,327;2012-11-01
2012M11;01 FOOD AND NON-ALCOHOLIC BEVERAGES;113,78;5,34;0,84;0,740;0,118;2012-11-01
2012M11;02 ALCOHOLIC BEVERAGES, TOBACCO;108,57;7,11;-0,11;0,392;-0,006;2012-11-01
2012M11;03 CLOTHING AND FOOTWEAR;106,56;1,42;0,15;0,076;0,007;2012-11-01
2012M11;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,46;-0,16;-0,98;-0,039;-0,228;2012-11-01
2012M11;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;105,08;1,62;0,44;0,091;0,024;2012-11-01
2012M11;06 HEALTH;101,57;0,47;0,13;0,022;0,006;2012-11-01
2012M11;07 TRANSPORT;108,63;4,54;-1,71;0,589;-0,230;2012-11-01
2012M11;08 COMMUNICATION;88,62;-8,05;0,55;-0,178;0,010;2012-11-01
2012M11;09 RECREATION AND CULTURE;100,40;0,61;-0,18;0,072;-0,022;2012-11-01
2012M11;10 EDUCATION;107,14;3,50;0,00;0,017;0,000;2012-11-01
2012M11;11 RESTAURANTS AND HOTELS;107,49;4,29;0,25;0,299;0,017;2012-11-01
2012M11;12 MISCELLANEOUS GOODS AND SERVICES;106,70;1,50;-0,36;0,102;-0,024;2012-11-01
2012M12;0 CONSUMER PRICE INDEX;106,81;2,35;0,13;2,357;0,131;2012-12-01
2012M12;01 FOOD AND NON-ALCOHOLIC BEVERAGES;114,63;5,74;0,74;0,799;0,106;2012-12-01
2012M12;02 ALCOHOLIC BEVERAGES, TOBACCO;108,51;7,04;-0,05;0,389;-0,003;2012-12-01
2012M12;03 CLOTHING AND FOOTWEAR;106,36;1,82;-0,18;0,097;-0,009;2012-12-01
2012M12;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,25;-0,40;-0,19;-0,096;-0,044;2012-12-01
2012M12;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;105,10;1,59;0,01;0,089;0,001;2012-12-01
2012M12;06 HEALTH;101,37;0,38;-0,19;0,018;-0,009;2012-12-01
2012M12;07 TRANSPORT;109,03;5,45;0,36;0,705;0,048;2012-12-01
2012M12;08 COMMUNICATION;87,50;-7,86;-1,26;-0,171;-0,025;2012-12-01
2012M12;09 RECREATION AND CULTURE;100,85;0,81;0,44;0,097;0,052;2012-12-01
2012M12;10 EDUCATION;107,14;3,50;0,00;0,017;0,000;2012-12-01
2012M12;11 RESTAURANTS AND HOTELS;107,82;4,80;0,30;0,333;0,021;2012-12-01
2012M12;12 MISCELLANEOUS GOODS AND SERVICES;106,56;1,14;-0,13;0,078;-0,008;2012-12-01
2013M01;0 CONSUMER PRICE INDEX;106,72;1,62;-0,08;1,628;-0,084;2013-01-01
2013M01;01 FOOD AND NON-ALCOHOLIC BEVERAGES;115,07;5,29;0,38;0,711;0,053;2013-01-01
2013M01;02 ALCOHOLIC BEVERAGES, TOBACCO;110,27;3,89;1,62;0,223;0,089;2013-01-01
2013M01;03 CLOTHING AND FOOTWEAR;98,91;0,96;-7,00;0,038;-0,378;2013-01-01
2013M01;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,60;-0,34;0,32;-0,078;0,071;2013-01-01
2013M01;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;103,91;1,02;-1,13;0,055;-0,065;2013-01-01
2013M01;06 HEALTH;100,84;0,17;-0,52;0,008;-0,026;2013-01-01
2013M01;07 TRANSPORT;108,60;3,14;-0,39;0,414;-0,053;2013-01-01
2013M01;08 COMMUNICATION;88,14;-6,97;0,73;-0,165;0,016;2013-01-01
2013M01;09 RECREATION AND CULTURE;100,74;0,68;-0,10;0,084;-0,013;2013-01-01
2013M01;10 EDUCATION;107,16;3,15;0,01;0,015;0,000;2013-01-01
2013M01;11 RESTAURANTS AND HOTELS;110,09;5,17;2,10;0,369;0,152;2013-01-01
2013M01;12 MISCELLANEOUS GOODS AND SERVICES;107,77;-1,00;1,13;-0,069;0,075;2013-01-01
2013M02;0 CONSUMER PRICE INDEX;107,35;1,66;0,59;1,666;0,590;2013-02-01
2013M02;01 FOOD AND NON-ALCOHOLIC BEVERAGES;117,63;6,10;2,22;0,827;0,310;2013-02-01
2013M02;02 ALCOHOLIC BEVERAGES, TOBACCO;110,29;3,40;0,01;0,194;0,001;2013-02-01
2013M02;03 CLOTHING AND FOOTWEAR;97,31;-3,56;-1,61;-0,192;-0,081;2013-02-01
2013M02;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,18;0,25;0,53;0,057;0,119;2013-02-01
2013M02;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;104,73;1,75;0,78;0,097;0,045;2013-02-01
2013M02;06 HEALTH;100,69;-0,15;-0,14;-0,008;-0,007;2013-02-01
2013M02;07 TRANSPORT;109,85;3,72;1,15;0,492;0,154;2013-02-01
2013M02;08 COMMUNICATION;87,18;-8,56;-1,08;-0,204;-0,024;2013-02-01
2013M02;09 RECREATION AND CULTURE;101,28;0,64;0,53;0,079;0,065;2013-02-01
2013M02;10 EDUCATION;107,16;3,15;0,00;0,015;0,000;2013-02-01
2013M02;11 RESTAURANTS AND HOTELS;110,16;4,99;0,06;0,355;0,004;2013-02-01
2013M02;12 MISCELLANEOUS GOODS AND SERVICES;107,78;-0,89;0,00;-0,061;0,000;2013-02-01
2013M03;0 CONSUMER PRICE INDEX;107,84;1,74;0,45;1,745;0,456;2013-03-01
2013M03;01 FOOD AND NON-ALCOHOLIC BEVERAGES;118,19;6,09;0,47;0,827;0,067;2013-03-01
2013M03;02 ALCOHOLIC BEVERAGES, TOBACCO;110,35;3,43;0,05;0,195;0,003;2013-03-01
2013M03;03 CLOTHING AND FOOTWEAR;102,30;-2,85;5,12;-0,155;0,252;2013-03-01
2013M03;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;108,28;0,39;0,09;0,088;0,020;2013-03-01
2013M03;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;105,72;2,15;0,94;0,121;0,054;2013-03-01
2013M03;06 HEALTH;101,46;0,61;0,76;0,030;0,037;2013-03-01
2013M03;07 TRANSPORT;110,18;3,09;0,30;0,411;0,040;2013-03-01
2013M03;08 COMMUNICATION;86,11;-9,07;-1,22;-0,214;-0,026;2013-03-01
2013M03;09 RECREATION AND CULTURE;100,97;0,69;-0,30;0,085;-0,037;2013-03-01
2013M03;10 EDUCATION;107,16;3,15;0,00;0,015;0,000;2013-03-01
2013M03;11 RESTAURANTS AND HOTELS;110,70;5,30;0,49;0,376;0,036;2013-03-01
2013M03;12 MISCELLANEOUS GOODS AND SERVICES;107,88;-0,75;0,09;-0,051;0,006;2013-03-01
2013M04;0 CONSUMER PRICE INDEX;108,00;1,54;0,14;1,541;0,148;2013-04-01
2013M04;01 FOOD AND NON-ALCOHOLIC BEVERAGES;118,89;6,69;0,59;0,905;0,083;2013-04-01
2013M04;02 ALCOHOLIC BEVERAGES, TOBACCO;110,37;3,46;0,01;0,196;0,001;2013-04-01
2013M04;03 CLOTHING AND FOOTWEAR;105,23;-1,12;2,86;-0,061;0,147;2013-04-01
2013M04;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;107,90;0,15;-0,35;0,034;-0,077;2013-04-01
2013M04;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;106,10;2,25;0,35;0,127;0,020;2013-04-01
2013M04;06 HEALTH;101,29;0,03;-0,16;0,001;-0,008;2013-04-01
2013M04;07 TRANSPORT;110,07;0,65;-0,09;0,089;-0,013;2013-04-01
2013M04;08 COMMUNICATION;86,03;-6,87;-0,09;-0,157;-0,001;2013-04-01
2013M04;09 RECREATION AND CULTURE;100,81;0,65;-0,15;0,080;-0,019;2013-04-01
2013M04;10 EDUCATION;107,46;3,40;0,27;0,016;0,001;2013-04-01
2013M04;11 RESTAURANTS AND HOTELS;110,75;4,61;0,04;0,329;0,003;2013-04-01
2013M04;12 MISCELLANEOUS GOODS AND SERVICES;108,04;-0,50;0,14;-0,034;0,009;2013-04-01
2013M05;0 CONSUMER PRICE INDEX;108,02;1,55;0,01;1,551;0,018;2013-05-01
2013M05;01 FOOD AND NON-ALCOHOLIC BEVERAGES;119,15;7,48;0,21;1,007;0,031;2013-05-01
